X[m]	Nd[m^-3]	ux[m/s]	uy[m/s]	uz[m/s]	u2x[(m/s)^2]	u2y[(m/s)^2]	u2z[(m/s)^2]	Ttrx[K]	Ttry[K]	Ttrz[K]	Ttr[K]
5.71671e-05	3.28045e+24	-1.82737	9.39204	-1.49952	71108.8	67551.6	61791.3	288.138	296.842	248.861	277.947
5.73118e-05	3.06053e+24	11.4531	-16.1738	12.5238	63601.8	64019.7	82243	268.859	278.556	358.74	302.051
5.74565e-05	3.11551e+24	-1.63098	13.1042	-6.8689	66648.9	78679.5	63284.3	272.505	300.478	275.371	282.785
5.76013e-05	3.12468e+24	-15.1068	-4.17043	-1.95812	67192.6	67469	64362.7	285.592	289.199	274.895	283.229
5.7746e-05	3.0697e+24	5.10943	-0.174125	-37.4808	64002.9	71205.3	57291.6	248.795	291.871	227.668	256.111
5.78907e-05	3.26213e+24	3.6862	-17.0476	3.69921	65979.8	75331.5	66195.8	277.559	312.425	294.26	294.748
5.80354e-05	3.19798e+24	-28.3711	0.197093	-10.5525	72500.7	70950.8	67395.2	299.98	307.632	286.155	297.922
5.81802e-05	3.36292e+24	12.3295	-1.7935	5.90248	71806.4	76946.7	66513.1	290.116	281.893	286.867	286.292
5.83249e-05	3.31711e+24	-17.8892	-8.48262	-3.14661	75795.2	82462.6	73090.9	332.12	335.875	287.602	318.532
5.84696e-05	3.16133e+24	-9.66885	-0.882955	1.13155	73551.2	75408.9	75892.5	315.493	301.886	318.197	311.859
5.86143e-05	3.12468e+24	-18.0743	-5.29224	-1.62189	65123.1	63914.7	59742.4	267.611	259.847	250.91	259.456
5.87591e-05	3.09719e+24	18.8475	2.96695	26.4638	68087.2	66100.9	79000.4	281.008	283.583	326.305	296.965
5.89038e-05	3.04221e+24	10.9262	8.37058	32.4352	68509.9	60534.9	65486	290.254	266.657	262.918	273.277
5.90485e-05	3.5187e+24	-1.56091	-3.0611	-8.65685	64115.9	67624.6	68340.8	273.102	280.48	261.538	271.707
5.91933e-05	3.38125e+24	-8.33083	-37.8709	-0.757525	66609.2	68120.2	81862.9	292.984	285.909	340.251	306.381
5.9338e-05	3.01472e+24	-29.6378	-14.9168	0.844745	69167.4	87489	63020.3	290.862	361.554	260.106	304.174
5.94827e-05	3.29878e+24	3.56601	-0.188292	-9.29269	63226.5	73536.6	65505	261.006	307.726	283.448	284.06
5.96274e-05	3.28962e+24	-7.63867	-12.3528	22.5798	71724.7	66038	65908.9	297.106	293.062	275.332	288.5
5.97722e-05	3.32627e+24	6.61608	-11.14	0.260637	75179.1	81529.6	61015.5	290.576	361.38	247.501	299.819
5.99169e-05	3.07886e+24	2.105	2.57947	-9.51713	76874.7	62534.2	63824	325.384	260.613	278.042	288.013
6.00616e-05	3.28045e+24	-14.9653	-18.0249	-26.6299	71538.6	71949.9	63675.4	313.161	282.662	260.317	285.38
6.02063e-05	3.38125e+24	-11.1685	-11.2988	-22.6983	64341.7	76245.9	79019.8	284.074	321.138	335.444	313.552
6.03511e-05	3.27129e+24	19.4351	-16.1821	-25.9103	73870.2	72532.1	70185.7	277.706	301.472	300.439	293.205
6.04958e-05	3.27129e+24	4.44674	-32.2817	17.3461	68825.3	70015.7	58689.6	270.825	290.761	247.812	269.799
6.06405e-05	3.50037e+24	1.1245	12.9856	46.4603	61063.9	65615.9	72735.8	264.574	277.824	305.562	282.654
6.07852e-05	3.60117e+24	-2.80674	-2.77477	-9.71845	74425.4	79946.2	67284	304.663	328.971	270.644	301.426
6.093e-05	3.50954e+24	-2.657	-14.4366	4.52506	74432	69194.1	74136.9	322.243	295.646	320.993	312.961
6.10747e-05	3.08802e+24	-4.37228	0.856768	-5.81847	65649.9	66508.5	68554.5	272.224	288.83	288.641	283.232
6.12194e-05	3.56452e+24	-2.30704	-14.3984	22.6026	69922	66122	63696.4	312.101	291.176	273.54	292.272
6.13642e-05	3.11551e+24	-8.58356	3.34564	-1.75607	72120	74763.4	62176.9	295.689	312.691	247.684	285.355
6.15089e-05	3.16133e+24	-7.81957	0.348665	17.2689	60912.6	82105.1	71952.9	261.32	343.598	295.787	300.235
6.16536e-05	3.39041e+24	-23.7173	-4.38901	-6.22841	61512.5	60915.3	56427.3	260.098	243.476	229.695	244.423
6.17983e-05	3.61033e+24	8.59374	15.3212	32.8219	77820.5	70539.9	70357.9	327.582	301.931	304.685	311.399
6.19431e-05	3.18882e+24	0.129592	1.71714	-3.09568	80284	66686.1	58508.1	351.292	292.958	236.785	293.678
6.20878e-05	3.47288e+24	0.956409	-20.5744	-13.5354	63593.2	71809.7	59974.2	261.108	317.714	234.948	271.257
6.22325e-05	3.45456e+24	23.8803	10.3497	-0.58686	70336.3	58782.3	67508.4	285.732	252.927	280.544	273.068
6.23772e-05	3.10635e+24	20.8758	1.44903	-8.12758	72687.2	60954.4	67454.5	297.69	263.876	283.268	281.611
6.2522e-05	3.39041e+24	-18.3908	16.3867	-0.198824	68517.2	60554.4	72168.7	289.95	266.426	297.283	284.553
6.26667e-05	3.43623e+24	7.6433	6.12747	-22.1151	70088	64117.7	69003.3	292.951	271.482	295.39	286.608
6.28114e-05	3.91272e+24	-9.92668	6.23178	1.75404	63392	70726.4	64342.6	276.313	302.969	267.596	282.293
6.29561e-05	3.33543e+24	-33.6626	-0.723382	-9.9367	71997.4	69614.9	65292.5	308.103	291.041	278.435	292.526
6.31009e-05	3.3446e+24	-34.9049	5.49256	-4.14584	67486.1	64807	64704.9	284.025	278.267	262.353	274.882
6.32456e-05	3.73862e+24	2.02588	19.8508	-38.885	68314.1	67951	72762.3	293.101	306.117	305.781	301.666
6.33903e-05	3.20715e+24	1.17708	19.1903	14.5563	70935.8	60842.8	69938.1	284.945	246.334	277.307	269.528
6.35351e-05	3.50037e+24	2.40662	-18.9666	21.0028	67103.5	68320.3	65922	287.177	292.358	291.8	290.445
6.36798e-05	3.54619e+24	-10.4057	-4.78408	-3.76244	64739.6	66554.3	68578.2	276.599	289.487	276.12	280.735
6.38245e-05	3.21631e+24	10.0668	10.8829	-0.835865	70241.1	65941.7	77071.4	300.962	285.656	311.7	299.439
6.39692e-05	3.6928e+24	-17.5553	17.4678	-28.6017	55499.9	71821.9	72648	230.75	279.992	304.621	271.788
6.4114e-05	2.97807e+24	-4.72819	-15.9325	16.1699	75668	65767.1	68618.2	323.211	258.004	284.989	288.735
6.42587e-05	3.39958e+24	14.3272	11.7148	18.9894	64963.6	63452.2	60139.6	271.122	263.788	254.321	263.077
6.44034e-05	3.592e+24	13.0727	18.8787	-24.5386	71395.2	63331.9	58550.5	294.885	280.658	247.693	274.412
6.45481e-05	3.42707e+24	43.4394	-2.28843	-29.091	74294.7	67076.1	60583.4	311.32	291.266	262.855	288.481
6.46929e-05	3.52786e+24	-10.4301	7.69992	-8.74893	55840.9	65421	72068.1	228.104	287.439	301.181	272.241
6.48376e-05	3.44539e+24	-18.5396	-23.5922	4.28475	72750.8	61616.8	69034.2	286.167	256.985	301.576	281.576
